"year","sex","age","mx","qx","ax","lx","dx","Lx","Tx","ex"
2010,"m",0,0.00196,0.001956,0.05,1e+05,196,99814,7595102,75.95
2010,"m",1,0.000607,0.002426,1.65,99804,242,398648,7495288,75.1
2010,"m",5,0.000226,0.00113,2.5,99562,113,497530,7096641,71.28
2010,"m",10,0.000376,0.001879,2.5,99450,187,496782,6599110,66.36
2010,"m",15,0.001046,0.005216,2.5,99263,518,495020,6102329,61.48
2010,"m",20,0.001699,0.008461,2.5,98745,836,491637,5607309,56.79
2010,"m",25,0.002126,0.010574,2.5,97910,1035,486960,5115672,52.25
2010,"m",30,0.002165,0.010766,2.5,96874,1043,481764,4628712,47.78
2010,"m",35,0.002727,0.013543,2.5,95831,1298,475912,4146948,43.27
2010,"m",40,0.003453,0.017115,2.5,94534,1618,468623,3671036,38.83
2010,"m",45,0.004565,0.022569,2.5,92916,2097,459335,3202413,34.47
2010,"m",50,0.006608,0.032501,2.5,90819,2952,446714,2743078,30.2
2010,"m",55,0.009371,0.045782,2.5,87867,4023,429277,2296364,26.13
2010,"m",60,0.013281,0.064269,2.5,83844,5389,405749,1867087,22.27
2010,"m",65,0.019197,0.091592,2.5,78456,7186,374313,1461338,18.63
2010,"m",70,0.0268,0.125586,2.5,71270,8950,333972,1087025,15.25
2010,"m",75,0.045231,0.203179,2.5,62319,12662,279941,753053,12.08
2010,"m",80,0.068813,0.293564,2.5,49657,14578,211842,473112,9.53
2010,"m",85,0.134266,1,NA,35080,35080,261270,261270,7.45
2019,"m",0,0.001816,0.001813,0.05,1e+05,181,99828,7544074,75.44
2019,"m",1,0.000596,0.002382,1.65,99819,238,398715,7444246,74.58
2019,"m",5,0.000258,0.001291,2.5,99581,129,497583,7045531,70.75
2019,"m",10,0.000326,0.001629,2.5,99452,162,496857,6547948,65.84
2019,"m",15,0.001284,0.006401,2.5,99290,636,494863,6051091,60.94
2019,"m",20,0.00218,0.010843,2.5,98655,1070,490600,5556228,56.32
2019,"m",25,0.002571,0.012774,2.5,97585,1247,484809,5065629,51.91
2019,"m",30,0.002453,0.012192,2.5,96339,1175,478757,4580820,47.55
2019,"m",35,0.002857,0.014186,2.5,95164,1350,472445,4102063,43.11
2019,"m",40,0.003754,0.018594,2.5,93814,1744,464709,3629618,38.69
2019,"m",45,0.004872,0.024067,2.5,92070,2216,454809,3164908,34.38
2019,"m",50,0.00709,0.034834,2.5,89854,3130,441444,2710099,30.16
2019,"m",55,0.010073,0.049126,2.5,86724,4260,422969,2268655,26.16
2019,"m",60,0.013062,0.063247,2.5,82464,5216,399279,1845686,22.38
2019,"m",65,0.018551,0.088642,2.5,77248,6847,369121,1446407,18.72
2019,"m",70,0.027582,0.129015,2.5,70401,9083,329296,1077286,15.3
2019,"m",75,0.041583,0.188335,2.5,61318,11548,277719,747990,12.2
2019,"m",80,0.068673,0.293053,2.5,49770,14585,212385,470271,9.45
2019,"m",85,0.136434,1,NA,35184,35184,257886,257886,7.33
2021,"m",0,0.001715,0.001712,0.05,1e+05,171,99837,6962659,69.63
2021,"m",1,0.000483,0.001929,1.65,99829,193,398862,6862822,68.75
2021,"m",5,0.000227,0.001133,2.5,99636,113,497899,6463960,64.88
2021,"m",10,0.000382,0.001906,2.5,99523,190,497142,5966061,59.95
2021,"m",15,0.001524,0.007589,2.5,99334,754,494783,5468919,55.06
2021,"m",20,0.002372,0.011788,2.5,98580,1162,489994,4974136,50.46
2021,"m",25,0.003241,0.016074,2.5,97418,1566,483174,4484142,46.03
2021,"m",30,0.003635,0.01801,2.5,95852,1726,474943,4000968,41.74
2021,"m",35,0.004537,0.02243,2.5,94125,2111,465349,3526025,37.46
2021,"m",40,0.005844,0.028797,2.5,92014,2650,453447,3060676,33.26
2021,"m",45,0.008724,0.04269,2.5,89364,3815,437285,2607229,29.18
2021,"m",50,0.010604,0.051653,2.5,85549,4419,416700,2169944,25.36
2021,"m",55,0.016786,0.080551,2.5,81131,6535,389315,1753244,21.61
2021,"m",60,0.023111,0.109241,2.5,74595,8149,352605,1363929,18.28
2021,"m",65,0.03208,0.148492,2.5,66447,9867,307566,1011324,15.22
2021,"m",70,0.044373,0.199709,2.5,56580,11299,254650,703758,12.44
2021,"m",75,0.063879,0.275411,2.5,45280,12471,195225,449108,9.92
2021,"m",80,0.094944,0.383656,2.5,32810,12588,132579,253883,7.74
2021,"m",85,0.166705,1,NA,20222,20222,121304,121304,6
2010,"f",0,0.001668,0.001666,0.06,1e+05,167,99843,8025915,80.26
2010,"f",1,0.000565,0.002258,1.52,99833,225,398774,7926072,79.39
2010,"f",5,0.000188,0.000941,2.5,99608,94,497805,7527298,75.57
2010,"f",10,0.00027,0.001351,2.5,99514,134,497235,7029492,70.64
2010,"f",15,0.000479,0.002392,2.5,99380,238,496304,6532257,65.73
2010,"f",20,0.000567,0.002832,2.5,99142,281,495008,6035953,60.88
2010,"f",25,0.000596,0.002975,2.5,98861,294,493571,5540945,56.05
2010,"f",30,0.000588,0.002938,2.5,98567,290,492112,5047374,51.21
2010,"f",35,0.001118,0.005576,2.5,98278,548,490018,4555262,46.35
2010,"f",40,0.001569,0.007817,2.5,97730,764,486738,4065244,41.6
2010,"f",45,0.002584,0.012837,2.5,96966,1245,481717,3578506,36.9
2010,"f",50,0.003995,0.019779,2.5,95721,1893,473871,3096789,32.35
2010,"f",55,0.006466,0.031816,2.5,93828,2985,461675,2622918,27.95
2010,"f",60,0.00966,0.047162,2.5,90842,4284,443501,2161243,23.79
2010,"f",65,0.015467,0.074457,2.5,86558,6445,416678,1717741,19.84
2010,"f",70,0.02226,0.105431,2.5,80113,8446,379450,1301063,16.24
2010,"f",75,0.037655,0.172076,2.5,71667,12332,327504,921612,12.86
2010,"f",80,0.063074,0.272414,2.5,59335,16164,256264,594109,10.01
2010,"f",85,0.127784,1,NA,43171,43171,337844,337844,7.83
2019,"f",0,0.001487,0.001485,0.06,1e+05,148,99860,8089833,80.9
2019,"f",1,0.000469,0.001874,1.52,99852,187,398942,7989973,80.02
2019,"f",5,0.000199,0.000994,2.5,99664,99,498074,7591031,76.17
2019,"f",10,0.000268,0.001338,2.5,99565,133,497494,7092956,71.24
2019,"f",15,0.000443,0.002213,2.5,99432,220,496611,6595463,66.33
2019,"f",20,0.000499,0.00249,2.5,99212,247,495443,6098852,61.47
2019,"f",25,0.000646,0.003223,2.5,98965,319,494028,5603409,56.62
2019,"f",30,0.000713,0.003557,2.5,98646,351,492353,5109381,51.8
2019,"f",35,0.001079,0.005379,2.5,98295,529,490154,4617028,46.97
2019,"f",40,0.001756,0.008744,2.5,97766,855,486695,4126874,42.21
2019,"f",45,0.00258,0.012819,2.5,96912,1242,481452,3640179,37.56
2019,"f",50,0.00362,0.01794,2.5,95669,1716,474056,3158727,33.02
2019,"f",55,0.006532,0.032135,2.5,93953,3019,462217,2684671,28.57
2019,"f",60,0.00912,0.044584,2.5,90934,4054,444534,2222454,24.44
2019,"f",65,0.013642,0.065962,2.5,86880,5731,420071,1777920,20.46
2019,"f",70,0.021259,0.100931,2.5,81149,8190,385268,1357849,16.73
2019,"f",75,0.033682,0.155329,2.5,72958,11333,336461,972581,13.33
2019,"f",80,0.055996,0.245599,2.5,61626,15135,270291,636120,10.32
2019,"f",85,0.127083,1,NA,46491,46491,365828,365828,7.87
2021,"f",0,0.001272,0.001271,0.06,1e+05,127,99880,7673044,76.73
2021,"f",1,0.000339,0.001357,1.52,99873,135,399156,7573164,75.83
2021,"f",5,0.000182,0.00091,2.5,99737,91,498460,7174008,71.93
2021,"f",10,0.000276,0.001377,2.5,99647,137,497890,6675548,66.99
2021,"f",15,0.000501,0.002503,2.5,99509,249,496925,6177657,62.08
2021,"f",20,0.000675,0.003368,2.5,99260,334,495466,5680733,57.23
2021,"f",25,0.001026,0.005117,2.5,98926,506,493365,5185266,52.42
2021,"f",30,0.001264,0.006299,2.5,98420,620,490550,4691901,47.67
2021,"f",35,0.001655,0.008241,2.5,97800,806,486985,4201351,42.96
2021,"f",40,0.002602,0.012925,2.5,96994,1254,481836,3714366,38.29
2021,"f",45,0.004461,0.022057,2.5,95740,2112,473423,3232529,33.76
2021,"f",50,0.006158,0.030321,2.5,93629,2839,461046,2759106,29.47
2021,"f",55,0.009944,0.048515,2.5,90790,4405,442937,2298060,25.31
2021,"f",60,0.014817,0.071441,2.5,86385,6171,416497,1855123,21.48
2021,"f",65,0.021396,0.101549,2.5,80214,8146,380704,1438626,17.93
2021,"f",70,0.031485,0.145936,2.5,72068,10517,334047,1057922,14.68
2021,"f",75,0.046845,0.209669,2.5,61551,12905,275490,723875,11.76
2021,"f",80,0.068754,0.293347,2.5,48645,14270,207552,448384,9.22
2021,"f",85,0.142736,1,NA,34375,34375,240832,240832,7.01
